Id2,Geography,Estimate
48401,"Rusk County, Texas",53457
48403,"Sabine County, Texas",10440
48405,"San Augustine County, Texas",8695
48407,"San Jacinto County, Texas",27023
48409,"San Patricio County, Texas",66070
48411,"San Saba County, Texas",5893
48413,"Schleicher County, Texas",3224
48415,"Scurry County, Texas",17238
48417,"Shackelford County, Texas",3352
48419,"Shelby County, Texas",25725
48421,"Sherman County, Texas",3066
48423,"Smith County, Texas",217552
48425,"Somervell County, Texas",8608
48427,"Starr County, Texas",62648
48429,"Stephens County, Texas",9452
48431,"Sterling County, Texas",1346
48433,"Stonewall County, Texas",1414
48435,"Sutton County, Texas",3966
48437,"Swisher County, Texas",7713
48439,"Tarrant County, Texas",1914526
48441,"Taylor County, Texas",134435
48443,"Terrell County, Texas",921
48445,"Terry County, Texas",12687
48447,"Throckmorton County, Texas",1545
48449,"Titus County, Texas",32553
48451,"Tom Green County, Texas",115056
48453,"Travis County, Texas",1121645
48455,"Trinity County, Texas",14405
48457,"Tyler County, Texas",21462
48459,"Upshur County, Texas",40096
48461,"Upton County, Texas",3405
48463,"Uvalde County, Texas",26952
48465,"Val Verde County, Texas",48980
48467,"Van Zandt County, Texas",52736
48469,"Victoria County, Texas",90099
48471,"Walker County, Texas",69330
48473,"Waller County, Texas",45847
48475,"Ward County, Texas",11225
48477,"Washington County, Texas",34236
48479,"Webb County, Texas",263251
48481,"Wharton County, Texas",41264
48483,"Wheeler County, Texas",5618
48485,"Wichita County, Texas",131957
48487,"Wilbarger County, Texas",13158
48489,"Willacy County, Texas",22002
48491,"Williamson County, Texas",473592
48493,"Wilson County, Texas",45509
48495,"Winkler County, Texas",7576
48497,"Wise County, Texas",61243
48499,"Wood County, Texas",42712
48501,"Yoakum County, Texas",8213
48503,"Young County, Texas",18329
48505,"Zapata County, Texas",14308
48507,"Zavala County, Texas",12060
