County,CountyName,johnson,obama,other,romney,stein,totalvotes,dPct,rPct,otherPct,dDRPct,rDRPct,leanD,leanR,StateAbbr,StateName
5067,Jackson,96,2095,15,3072,69,5347,0.391808490742,0.574527772583,0.00280531138956,0.405457712406,0.594542287594,0.681966145833,1.46634844869,AR,Arkansas
5069,Jefferson,194,17470,33,9520,166,27383,0.637987072271,0.347660957528,0.00120512726874,0.647276769174,0.352723230826,1.83508403361,0.544934172868,AR,Arkansas
5071,Johnson,128,2799,13,5064,94,8098,0.345640898987,0.625339590022,0.00160533465053,0.355971003434,0.644028996566,0.552725118483,1.80921757771,AR,Arkansas
5073,Lafayette,19,1173,11,1713,13,2929,0.400477978832,0.584841242745,0.00375554796859,0.406444906445,0.593555093555,0.68476357268,1.46035805627,AR,Arkansas
5075,Lawrence,121,1788,18,3536,77,5540,0.32274368231,0.638267148014,0.00324909747292,0.335837716003,0.664162283997,0.505656108597,1.97762863535,AR,Arkansas
5077,Lee,27,2107,2,1280,8,3424,0.615362149533,0.373831775701,0.000584112149533,0.622084440508,0.377915559492,1.64609375,0.607498813479,AR,Arkansas
5079,Lincoln,53,1425,12,2199,37,3726,0.382447665056,0.590177133655,0.00322061191626,0.39321192053,0.60678807947,0.648021828104,1.54315789474,AR,Arkansas
5081,Little River,54,1552,17,3385,43,5051,0.307265887943,0.670164323896,0.00336567016432,0.314360947944,0.685639052056,0.458493353028,2.18105670103,AR,Arkansas
5083,Logan,140,2009,11,5079,92,7331,0.274041740554,0.692811349066,0.00150047742464,0.283436794582,0.716563205418,0.395550305178,2.5281234445,AR,Arkansas
5085,Lonoke,372,5625,29,17880,208,24114,0.233266981836,0.741477979597,0.00120262088413,0.239310784939,0.760689215061,0.314597315436,3.17866666667,AR,Arkansas
5087,Madison,120,2099,8,4263,78,6568,0.319579780755,0.649056029233,0.00121802679659,0.329927695693,0.670072304307,0.492376260849,2.0309671272,AR,Arkansas
5089,Marion,149,2037,13,4774,78,7051,0.288895192171,0.677067082683,0.00184371011204,0.299075025694,0.700924974306,0.426686217009,2.34364261168,AR,Arkansas
5091,Miller,96,4518,24,10622,69,15329,0.294735468719,0.69293495988,0.0015656598604,0.298414795244,0.701585204756,0.425343626436,2.35104028331,AR,Arkansas
5093,Mississippi,141,6467,75,6603,89,13375,0.483514018692,0.493682242991,0.00560747663551,0.494797245601,0.505202754399,0.97940330153,1.02102984382,AR,Arkansas
5095,Monroe,26,1583,2,1585,34,3230,0.490092879257,0.490712074303,0.00061919504644,0.499684343434,0.500315656566,0.998738170347,1.00126342388,AR,Arkansas
5097,Montgomery,51,920,9,2369,55,3404,0.27027027027,0.695945945946,0.00264394829612,0.27972027972,0.72027972028,0.388349514563,2.575,AR,Arkansas
5099,Nevada,45,1314,6,1996,23,3384,0.38829787234,0.589834515366,0.00177304964539,0.396978851964,0.603021148036,0.658316633267,1.51902587519,AR,Arkansas
5101,Newton,85,993,7,2508,68,3661,0.27123736684,0.685058727124,0.0019120458891,0.283633247644,0.716366752356,0.395933014354,2.52567975831,AR,Arkansas
5103,Ouachita,58,4633,16,5521,87,10315,0.449151720795,0.535239941832,0.00155113911779,0.456273389797,0.543726610203,0.839159572541,1.19166846536,AR,Arkansas
5105,Perry,98,1187,18,2581,54,3938,0.301422041646,0.655408836973,0.00457084814627,0.315021231423,0.684978768577,0.459899263851,2.17438921651,AR,Arkansas
5107,Phillips,62,5202,17,2598,51,7930,0.655989911728,0.327616645649,0.00214375788146,0.666923076923,0.333076923077,2.00230946882,0.499423298731,AR,Arkansas
5109,Pike,50,851,5,2847,35,3788,0.224656810982,0.751583949314,0.00131995776135,0.230124391563,0.769875608437,0.298911134528,3.34547591069,AR,Arkansas
5111,Poinsett,113,2390,11,4974,72,7560,0.316137566138,0.657936507937,0.00145502645503,0.324551873982,0.675448126018,0.480498592682,2.08117154812,AR,Arkansas
5113,Polk,127,1556,22,5955,66,7726,0.201397877297,0.770774009837,0.00284752782811,0.207162827852,0.792837172148,0.261293031066,3.82712082262,AR,Arkansas
5115,Pope,321,5126,23,14763,206,20439,0.250795048681,0.722295611331,0.0011252996722,0.257730403741,0.742269596259,0.347219399851,2.88002341007,AR,Arkansas
5117,Prairie,42,880,15,2153,51,3141,0.280165552372,0.685450493473,0.00477554918816,0.290141773821,0.709858226179,0.408732001858,2.44659090909,AR,Arkansas
5119,Pulaski,1952,87248,133,68984,1064,159381,0.547417822702,0.432824489745,0.000834478388265,0.558451533617,0.441548466383,1.26475704511,0.790665688612,AR,Arkansas
5121,Randolph,121,2046,9,3701,79,5956,0.343519140363,0.621390194762,0.00151108126259,0.35601183226,0.64398816774,0.5528235612,1.80889540567,AR,Arkansas
5123,St. Francis,41,4910,17,3368,26,8362,0.587180100454,0.402774455872,0.00203300645779,0.593138439237,0.406861560763,1.45783847981,0.685947046843,AR,Arkansas
5125,Saline,775,12869,33,32963,422,47062,0.273447792274,0.700416471888,0.00070120266882,0.280786350148,0.719213649852,0.390407426509,2.56142668428,AR,Arkansas
5127,Scott,65,897,12,2631,35,3640,0.246428571429,0.722802197802,0.0032967032967,0.25425170068,0.74574829932,0.340935005701,2.93311036789,AR,Arkansas
5129,Searcy,95,814,16,2699,70,3694,0.220357336221,0.730644288035,0.00433134813211,0.2317107885,0.7682892115,0.30159318266,3.31572481572,AR,Arkansas
5131,Sebastian,690,13092,61,29169,350,43362,0.301923343019,0.672685761727,0.00140676168073,0.309789167317,0.690210832683,0.448832664815,2.22800183318,AR,Arkansas
5133,Sevier,74,1042,18,3136,60,4330,0.24064665127,0.724249422633,0.00415704387991,0.249401627573,0.750598372427,0.332270408163,3.00959692898,AR,Arkansas
5135,Sharp,156,2092,23,4921,91,7283,0.287244267472,0.675683097625,0.00315803926953,0.29830315129,0.70169684871,0.425116846169,2.35229445507,AR,Arkansas
5137,Stone,141,1356,13,3776,68,5354,0.253268584236,0.705267090026,0.00242809114681,0.264224473889,0.735775526111,0.359110169492,2.78466076696,AR,Arkansas
5139,Union,158,6196,63,10699,61,17177,0.360714909472,0.622867788322,0.00366769517378,0.366735720627,0.633264279373,0.579119543883,1.72675919948,AR,Arkansas
5141,Van Buren,142,1832,15,4365,76,6430,0.284914463453,0.678849144635,0.00233281493002,0.29562691625,0.70437308375,0.419702176403,2.3826419214,AR,Arkansas
5143,Washington,1651,28236,67,39688,818,70460,0.40073800738,0.563269940392,0.000950894124326,0.415699899888,0.584300100112,0.711449304576,1.40558152713,AR,Arkansas
5145,White,428,5765,55,20011,255,26514,0.217432299917,0.75473334842,0.00207437580146,0.223657666046,0.776342333954,0.288091549648,3.47111882047,AR,Arkansas
5147,Woodruff,63,1340,18,1227,37,2685,0.499068901304,0.456983240223,0.00670391061453,0.522010128555,0.477989871445,1.09209453953,0.915671641791,AR,Arkansas
5149,Yell,95,1722,26,4042,89,5974,0.288249079344,0.676598593907,0.00435219283562,0.298750867453,0.701249132547,0.426026719446,2.34727061556,AR,Arkansas
