ID,Geography,MALE_TTL,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,FEMALE_TTL,POP_TTL,MILS,GENX,BOOMERS,SILENTS,CLINTON,TRUMP,WINNER,TOTALVOTES
48465,"Val Verde County, Texas",17518,11214,9684,4239,1233,17141,48980,14400,8669,11021,2890,51,43,CLINTON,13617
48467,"Van Zandt County, Texas",19702,7772,14356,3795,1894,20745,52736,11444,9651,17297,4324,13,84,TRUMP,21890
48469,"Victoria County, Texas",32204,12151,21329,7742,3239,34459,90099,24417,15857,24417,5676,28,68,TRUMP,31123
48471,"Walker County, Texas",35018,9361,18670,6687,2638,23359,69330,25791,14282,17055,3259,31,65,TRUMP,19796
48473,"Waller County, Texas",17219,6392,10316,3509,1260,17641,45847,16413,7336,11049,1880,34,63,TRUMP,16784
48475,"Ward County, Texas",3968,1944,2884,579,247,4098,11225,2997,1998,2840,752,23,74,TRUMP,3445
48477,"Washington County, Texas",12936,4409,8266,3600,1466,13831,34236,8662,5683,10647,3081,23,74,TRUMP,14828
48479,"Webb County, Texas",82172,55912,44521,18188,7555,90660,263251,80028,50544,47385,9214,74,23,CLINTON,56905
48481,"Wharton County, Texas",14847,6900,10745,2748,1213,15642,41264,10646,7180,11554,2971,29,69,TRUMP,14732
48483,"Wheeler County, Texas",2065,747,1288,523,137,2094,5618,1270,961,1747,410,8,91,TRUMP,2306
48485,"Wichita County, Texas",52666,13086,34413,13034,6051,49294,131957,42490,22433,33253,8577,23,72,TRUMP,38119
48487,"Wilbarger County, Texas",4907,2077,3226,1174,296,5090,13158,3421,2250,3882,974,20,77,TRUMP,4105
48489,"Willacy County, Texas",9127,5733,6204,878,258,7265,22002,7107,4202,4840,1188,67,30,CLINTON,5095
48491,"Williamson County, Texas",166388,28009,75364,84293,38997,177038,473592,125028,111768,108926,18470,42,51,TRUMP,203081
48493,"Wilson County, Texas",16947,5182,11868,4260,1833,17128,45509,10649,9147,13835,2594,25,72,TRUMP,19432
48495,"Winkler County, Texas",2703,1476,1658,462,79,2594,7576,2068,1439,1826,356,22,75,TRUMP,1876
48497,"Wise County, Texas",22785,7326,16754,5356,1693,22896,61243,15250,11942,18005,3246,14,83,TRUMP,24776
48499,"Wood County, Texas",16855,5296,12098,3886,1513,17449,42712,8713,6663,15803,4613,14,84,TRUMP,18727
48501,"Yoakum County, Texas",2724,1527,1655,515,252,2813,8213,2053,1643,1864,394,18,78,TRUMP,2303
48503,"Young County, Texas",6793,2735,5031,1530,737,7078,18329,3996,3098,5865,1668,11,86,TRUMP,7707
48505,"Zapata County, Texas",4569,4191,2619,425,242,4911,14308,4178,2432,3005,558,66,33,CLINTON,3142
48507,"Zavala County, Texas",4168,3028,2304,481,136,4211,12060,3546,2050,2689,687,78,20,CLINTON,3396
