Id2,Geography,POP_TTL,mils,genX,boomers,silents
48235,"Irion County, Texas",1644,353,268,575,123
48237,"Jack County, Texas",8946,2594,1655,2737,581
48239,"Jackson County, Texas",14486,3462,2448,4389,1072
48241,"Jasper County, Texas",35768,7976,6510,11088,2647
48243,"Jeff Davis County, Texas",2232,304,373,1114,147
48245,"Jefferson County, Texas",252872,72827,47793,66758,15678
48247,"Jim Hogg County, Texas",5239,1331,765,1656,335
48249,"Jim Wells County, Texas",41461,11277,7214,10697,2488
48251,"Johnson County, Texas",155450,40262,31401,42282,7617
48253,"Jones County, Texas",19978,5993,4495,5374,1199
48255,"Karnes County, Texas",14879,4657,2797,3705,1071
48257,"Kaufman County, Texas",109289,28087,22841,28306,4699
48259,"Kendall County, Texas",37361,7808,7211,12366,2952
48261,"Kenedy County, Texas",565,146,84,142,19
48263,"Kent County, Texas",821,140,131,304,95
48265,"Kerr County, Texas",50149,10882,7472,17652,6269
48267,"Kimble County, Texas",4486,790,641,1907,534
48269,"King County, Texas",267,76,53,91,22
48271,"Kinney County, Texas",3577,876,615,1238,254
48273,"Kleberg County, Texas",32029,12171,4708,6950,1698
48275,"Knox County, Texas",3796,854,623,1078,421
48277,"Lamar County, Texas",49566,12243,9170,14771,3767
48279,"Lamb County, Texas",13742,3436,2350,3518,1141
48281,"Lampasas County, Texas",20219,4650,3882,6308,1415
48283,"La Salle County, Texas",7191,2244,1244,1596,388
48285,"Lavaca County, Texas",19549,4027,3186,6412,2131
48287,"Lee County, Texas",16664,4066,3083,5316,1166
48289,"Leon County, Texas",16819,3431,2809,5954,1514
48291,"Liberty County, Texas",77486,21154,15420,21154,3642
48293,"Limestone County, Texas",23454,5981,4245,7013,1712
48295,"Lipscomb County, Texas",3483,1027,575,902,226
48297,"Live Oak County, Texas",11873,2897,2244,3764,1021
48299,"Llano County, Texas",19323,2918,2493,8502,2860
48301,"Loving County, Texas",117,25,25,61,0
48303,"Lubbock County, Texas",290782,103809,47688,64844,14830
48305,"Lynn County, Texas",5764,1355,1020,1660,427
48307,"McCulloch County, Texas",8273,1770,1398,2780,711
48309,"McLennan County, Texas",241505,76799,41056,58927,14490
48311,"McMullen County, Texas",778,187,128,210,104
48313,"Madison County, Texas",13838,5023,2712,3321,913
48315,"Marion County, Texas",10248,1978,1804,3945,1004
48317,"Martin County, Texas",5252,1408,940,1334,226
48319,"Mason County, Texas",4066,850,602,1647,411
48321,"Matagorda County, Texas",36598,9369,6148,10723,2415
48323,"Maverick County, Texas",56548,16625,10235,11988,2714
48325,"Medina County, Texas",47392,12275,8862,13933,2938
48327,"Menard County, Texas",2182,380,329,788,223
48329,"Midland County, Texas",151290,46597,26627,35402,7413
48331,"Milam County, Texas",24344,5526,4138,7620,2069
48333,"Mills County, Texas",4875,853,839,1589,566
48335,"Mitchell County, Texas",9169,3053,1825,2283,568
48337,"Montague County, Texas",19478,4246,3233,6467,1850
48339,"Montgomery County, Texas",502586,128662,105543,134190,21611
48341,"Moore County, Texas",22281,6439,4144,4657,914
48343,"Morris County, Texas",12700,2870,2210,3912,1295
48345,"Motley County, Texas",1071,312,175,311,124
48347,"Nacogdoches County, Texas",65531,23329,9961,15662,3604
48349,"Navarro County, Texas",48118,11885,8998,13666,3080
48351,"Newton County, Texas",14231,3501,2789,4412,968
48353,"Nolan County, Texas",15061,3765,2681,4307,1115
48355,"Nueces County, Texas",352060,102097,64427,91888,19715
48357,"Ochiltree County, Texas",10642,2863,2128,2309,458
48359,"Oldham County, Texas",2071,621,273,570,130
48361,"Orange County, Texas",83217,21220,15894,24050,5243
48363,"Palo Pinto County, Texas",27921,6506,4886,8879,2038
48365,"Panola County, Texas",23900,5927,4206,7098,1745
48367,"Parker County, Texas",121418,29383,24284,36911,6435
48369,"Parmer County, Texas",10004,2761,1811,2391,550
48371,"Pecos County, Texas",15807,4458,3177,3999,869
48373,"Polk County, Texas",46113,10514,8531,15863,3274
